title,genre
A Night at the Opera,Comedy
A Tale of Two Cities,Drama
Ace Ventura 2,Comedy
Airplane,Comedy
Airport,Drama
All About Eve,Drama
Anna Karenina,Drama
Annie Get Your Gun,Comedy
Apollo 13,Adventure
Back to the Future,Action
Barry Lyndon,Drama
Batman Forever,Action
Battle Cry,Drama
Beneath the Planet of the Apes,Action
Blood on the Sun,Action
Born Yesterday,Comedy
Brief Encounter,Drama
Butterfield 8,Drama
Captain Blood,Action
Casper,Comedy
Castaway,Adventure
Catch 22,Comedy
Charlie's Angels,Action
Cheaper By the Dozen,Comedy
Cinderella,Animation
Coal Miner's Daughter,Drama
Cocoon,Adventure
Detour,Drama
Dick Tracy,Action
Die Hard 2,Action
Dinosaur,Animation
Dog Day Afternoon,Drama
Dr Zhivago,Drama
East of Eden,Drama
Erin Brockovich,Drama
Exodus,Action
Fantasia,Animation
Five Easy Pieces,Drama
Foreign Correspondent,Drama
Ghost,Comedy
Goldeneye,Action
Goodfellas,Drama
Harvey,Comedy
Help,Comedy
Hitch,Comedy
Home Alone,Comedy
How the Grinch Stole Christmas,Comedy
In Pursuit to Algiers,Adventure
Inherit the Wind,Drama
Jaws,Adventure
Jumanji,Adventure
Kelly's Heroes,Action
King Kong,Adventure
Lady and the Tramp,Animation
Leave Her to Heaven,Drama
Les Miserables,Drama
Madagascar,Animation
Monty Python and the Holy Grail,Comedy
Mr & Mrs Smith,Action
Mr Roberts,Comedy
Mutiny on the Bounty,Drama
Night of the Hunter,Drama
Nine to Five,Comedy
Ocean's 11,Comedy
One Flew Over the Cuckoo's Nest,Drama
Ordinary People,Drama
Out of Africa,Drama
Patton,Drama
Peeping Tom,Drama
Pinocchio,Animation
Pocohontas,Animation
Police Academy 2,Comedy
Popeye,Comedy
Pretty Woman,Comedy
Rambo First Blood Part II,Action
Rebecca,Drama
Rebel Without a Cause,Drama
Return of the Pink Panther,Comedy
Santa Fe Trail,Action
Scary Movie,Comedy
Sense And Sensibility,Drama
Shampoo,Drama
Shenandoah,Drama
Spartacus,Action
Spellbound,Drama
Spies Like Us,Comedy
Stir Crazy,Comedy
Superman 2,Action
Swiss Family Robinson,Adventure
Teenage Mutant Ninja Turtles,Action
That Darn Cat,Comedy
The 39 Steps,Drama
The Apartment,Comedy
The Aristocats,Animation
The Asphalt Jungle,Drama
The Bells of St Mary's,Drama
The Blue Lagoon,Adventure
The Color Purple,Drama
The Empire Strikes Back,Action
The Flame and the Arrow,Action
The Flight of the Phoenix,Adventure
The Grapes of Wrath,Drama
The Great Dictator,Comedy
The Great Race,Action
The Hunt for Red October,Action
The Informer,Drama
The Ladykillers,Comedy
The Letter,Drama
The Longest Yard,Comedy
The Lost Weekend,Drama
The Magnificent Seven,Adventure
The Man Who Would Be King,Action
The Perfect Storm,Adventure
The Rocky Horror Picture Show,Comedy
The Seven Year Itch,Comedy
The Sound of Music,Drama
The Thief of Bagdad,Adventure
The Time Machine,Adventure
The Trouble with Harry,Comedy
Those Magnificent Men in Their Flying Machines,Adventure
Three Days of the Condor,Drama
Thunderball,Action
Top Hat,Comedy
Tora Tora Tora,Action
Total Recall,Action
Toy Story,Animation
Urban Cowboy,Drama
Walk the Line,Drama
Wedding Crashers,Comedy
Westward Ho,Drama
What Women Want,Comedy
What's New Pussycat,Comedy
Witness,Drama
X-Men,Action
